beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state
HopDevil,Victory Brewing Company,American IPA,6.7,50,,Sheraton Tarrytown Hotel,Tarrytown,NY,41.0612,-73.8371,,3/19/13 23:02,https://untappd.com/c/25221835,https://untappd.com/beer/3832,https://untappd.com/brewery/1326,United States,Downingtown,PA
HopBack Amber Ale,TrÃ¶egs Independent Brewing,American Amber / Red Ale,6,55,,,,,,,,3/19/13 23:03,https://untappd.com/c/25221887,https://untappd.com/beer/9350,https://untappd.com/brewery/2583,United States,Hershey,PA
Brooklyn Local 1,Brooklyn Brewery,Belgian Strong Pale Ale,9,26,,,,,,,,3/19/13 23:04,https://untappd.com/c/25221931,https://untappd.com/beer/5048,https://untappd.com/brewery/259,United States,Brooklyn,NY
Brooklyn Local 2,Brooklyn Brewery,Belgian Strong Dark Ale,9,21,,,,,,,,3/19/13 23:04,https://untappd.com/c/25221975,https://untappd.com/beer/5375,https://untappd.com/brewery/259,United States,Brooklyn,NY
Brooklyn Sorachi Ace,Brooklyn Brewery,Saison / Farmhouse Ale,7.6,34,,,,,,,,3/19/13 23:05,https://untappd.com/c/25222014,https://untappd.com/beer/8731,https://untappd.com/brewery/259,United States,Brooklyn,NY
Hazelnut Brown Nectar,Rogue Ales,American Brown Ale,5.6,33,,Bridge View Tavern,Sleepy Hollow,NY,41.0823,-73.8679,5,3/19/13 23:06,https://untappd.com/c/25222155,https://untappd.com/beer/4179,https://untappd.com/brewery/4565,United States,Newport,OR
Stanney Bitter,Stanway Brewery,English Bitter,4.5,0,,,,,,,4,4/28/13 18:19,https://untappd.com/c/28916413,https://untappd.com/beer/140377,https://untappd.com/brewery/25318,England,,
Budweiser Budvar B:ORIGINAL / Czechvar B:ORIGINAL,Brewery Budweiser Budvar (BBNP),Czech Pilsener,5,32,Goes well with sausage,Favourite Beers,Cheltenham,Gloucestershire,51.8994,-2.06566,,5/2/13 20:04,https://untappd.com/c/29208371,https://untappd.com/beer/5385,https://untappd.com/brewery/245,Czech Republic,ÄŒeskÃ© BudÄ›jovice,
Butty Bach,Wye Valley Brewery,English Pale Ale,4.5,0,Goes well with cheese,Favourite Beers,Cheltenham,Gloucestershire,51.8994,-2.06566,5,5/2/13 20:24,https://untappd.com/c/29209248,https://untappd.com/beer/886,https://untappd.com/brewery/1378,England,Stoke Lacy,Herefordshire
Paulaner Hefe-WeiÃŸbier NaturtrÃ_b / Natural Wheat / BrÃ_uhaus Weizen,Paulaner Gruppe,Hefeweizen,5.5,12,Goes well with smoked salmon,Favourite Beers,Cheltenham,Gloucestershire,51.8994,-2.06566,3.5,5/2/13 20:40,https://untappd.com/c/29210083,https://untappd.com/beer/15677,https://untappd.com/brewery/972,Germany,MÃ_nchen,
Kriek,Brouwerij Boon,Lambic,4,0,Amazing cherry flavour! Goes well with dark chocolate,Favourite Beers,Cheltenham,Gloucestershire,51.8994,-2.06566,5,5/2/13 21:02,https://untappd.com/c/29211162,https://untappd.com/beer/2565,https://untappd.com/brewery/268,Belgium,Lembeek,Vlaams-Brabant
Jaipur,Thornbridge Brewery,English IPA,5.9,55,Goes well with spicy foods,Favourite Beers,Cheltenham,Gloucestershire,51.8994,-2.06566,4,5/2/13 21:21,https://untappd.com/c/29212077,https://untappd.com/beer/7705,https://untappd.com/brewery/2047,England,Bakewell,Derbyshire
Imperial Stout (Laphroaig Cask),Bristol Beer Factory,Russian Imperial Stout,9.5,0,Strong! Goes well with chocolate cookies!,Favourite Beers,Cheltenham,Gloucestershire,51.8994,-2.06566,4.5,5/2/13 21:42,https://untappd.com/c/29213170,https://untappd.com/beer/102893,https://untappd.com/brewery/3503,England,Bristol,Avon
Sagres Branca,Sociedade Central de Cervejas e Bebidas SA,Pilsner,5,0,Crisp clean,Cabot Circus,Bristol,,51.4585,-2.58504,3.5,5/4/13 19:40,https://untappd.com/c/29436718,https://untappd.com/beer/311619,https://untappd.com/brewery/54809,Portugal,2525-244 Vialonga,Lisboa
Jouster,Goffs Brewery,English Bitter,4,0,Mmmmm,Rising Sun Hotel,Cheltenham,,51.9387,-2.02934,4.5,5/6/13 16:13,https://untappd.com/c/29693434,https://untappd.com/beer/44210,https://untappd.com/brewery/10583,England,Winchcombe,Tewkesbury
Sussex Best Bitter,Harvey & Son (Harveys),English Bitter,4,0,,The Pilot Inn,Eastbourne,East Sussex,50.7533,0.267924,5,5/16/13 18:20,https://untappd.com/c/30590476,https://untappd.com/beer/46571,https://untappd.com/brewery/7682,England,Lewes,East Sussex
Cobra Premium,Molson Coors (UK),Pale Lager,4.8,0,,Ashoka,Eastbourne,England,50.767,0.284734,2.5,5/17/13 19:24,https://untappd.com/c/30704601,https://untappd.com/beer/9447,https://untappd.com/brewery/28894,England,"Burton-On-Trent,",Staffordshire
Warlord,Full Mash Brewery,English Pale Ale,4.4,0,,Moran's Eating House,Cheltenham,Gloucestershire,51.8902,-2.07829,4,5/23/13 23:05,https://untappd.com/c/31344218,https://untappd.com/beer/141734,https://untappd.com/brewery/25264,England,"Stapleford, Nottingham","Nottinghamshire, NG9 8EW"
3B,Arkell's Brewery,English Bitter,4,0,Great after a flight :-),Tavern Inn,Cirencester,,51.6745,-2.0226,4.5,5/25/13 21:09,https://untappd.com/c/31602373,https://untappd.com/beer/57491,https://untappd.com/brewery/1462,England,Swindon,"Wiltshire, SN2 7RU"
San Miguel,Mahou-San Miguel,Euro Lager,5,4,,,,,,,3.5,5/31/13 15:59,https://untappd.com/c/32220076,https://untappd.com/beer/6439,https://untappd.com/brewery/4726,Spain,28045 Madrid,Madrid
Guinness Draught,Guinness,Irish Dry Stout,4.3,45,,,,,,,4.5,5/31/13 21:43,https://untappd.com/c/32241899,https://untappd.com/beer/4473,https://untappd.com/brewery/49,Ireland,Dublin 8,Ireland
Shropshire Gold,Salopian Brewery,English Bitter,3.8,0,"Beautiful pint, beautiful venue!",Albright Hussey Manor Hotel,Shrewsbury,Shropshire,52.7535,-2.739,4.5,6/1/13 15:28,https://untappd.com/c/32370739,https://untappd.com/beer/50519,https://untappd.com/brewery/1096,England,Shrewsbury,Shropshire
Morland Old Speckled Hen,Greene King,Extra Special / Strong Bitter,4.5,0,,Mango Spice,,,52.5877,-1.82959,4.5,6/1/13 22:34,https://untappd.com/c/32434246,https://untappd.com/beer/3121,https://untappd.com/brewery/612,England,Bury St Edmunds,Suffolk
